count|raw_tweet|processed_tweet
22|@yourdarc Ever tried trazodone or Lunesta or hydroxyzine for sleep?  Trazodone works fine for me. Paroxetine is very old, was hell for me. The most often prescribed AD’s are Venlaxafine HCL XR (euro countries say safe meds are dangerous) also Escitalopram…viibryd, trintellix are new|yourdarc  tried trazodone  lunesta  hydroxyzine  sleep  trazodone  fine   paroxetine     hell      prescribed ad  venlaxafine hcl xr euro countries  safe meds  dangerous  escitalopram…viibryd trintellix  
23|@slaycalz other awful ones were latuda and viibryd , both gave me oculogyric crisis . basically my eyes rolled up uncontrollably and it was fucking awful esp considering i already have chronic headaches , it made it much worse . and i had to leave school because i couldn't read or see shit|slaycalz  awful ones  latuda  viibryd     oculogyric crisis  basically  eyes rolled  uncontrollably    fucking awful esp considering    chronic headaches      worse      leave school    read   shit
24|@KDenne13 Are you on BOP insurance, and if so did Express Scripts give you a hard time about Viibryd since there is no generic? I’d been on it for over a year when we switched from Optum, and for a while it looked like Express Scripts wasn’t going to cover my Viibryd. (They finally did.)|kdenne    bop insurance     express scripts    hard time  viibryd     generic           switched  optum      looked  express scripts wasn   cover  viibryd  finally 
25|@KDenne13 Brain zaps were AWFUL with Cymbalta. With Viibryd I have skipped a whole day and no brain zaps.|kdenne brain zaps  awful  cymbalta  viibryd   skipped   day   brain zaps
26|My Viibryd is in the car. I usually take it before bed. I don’t feel like going back outside. I think I’ll take it on my way to work in the morning. Maybe it will last longer that way anyway?| viibryd    car  usually    bed  don feel    outside   ll          morning maybe       anyway
27|RT @Greenshields09: Vilazodone &gt; Fluvoxaminehttps://t.co/HOKyFQZs1eAn extended conformation of SARS-CoV-2 main protease reveals allosteri…|rt greenshields vilazodone gt fluvoxaminehttpscohokyfqzsean extended conformation  sarscov main protease reveals allosteri…
28|i take viibryd which is a med you /have/ to take with food and i should probably tell my psych that's a problem for me but also im tired of trying meds and i don't wanna bring up my ed so i guess we'll suffer &lt;3|  viibryd    med      food    probably tell  psych        im tired  trying meds    wanna bring   ed   guess  suffer lt
29|Starting Viibryd today. Wish me luck besties!|starting viibryd  wish  luck besties
30|RT @_RubyLeClaire: I’m on Wellbutrin. It wasn’t a miracle for me, for depression or adhd. I use it in conjunction with adderall, viibryd, d…|rt rubyleclaire   wellbutrin  wasn  miracle    depression  adhd     conjunction  adderall viibryd …
31|I’m on Wellbutrin. It wasn’t a miracle for me, for depression or adhd. I use it in conjunction with adderall, viibryd, doxepin, and buspirone - as well as TMS treatments. Plus klonopin for anxiety. Anyway, if it wasn’t a miracle for you you’re not alone.|  wellbutrin  wasn  miracle    depression  adhd     conjunction  adderall viibryd doxepin  buspirone     tms treatments plus klonopin  anxiety anyway   wasn  miracle   re  
32|I have tried trazodone, sertraline (zoloft), fluoxetine (prozac), Viibryd, duloxetine (cymbalta), citalopram (celexa) AND escitalopram (lexapro). Wellbutrin XR has been my light! It has been the first drug to help anxiety/depression without making me completely numb. https://t.co/JK41rywTl8|  tried trazodone sertraline zoloft fluoxetine prozac viibryd duloxetine cymbalta citalopram celexa  escitalopram lexapro wellbutrin xr    light      drug  help anxietydepression    completely numb httpscojkrywtl
33|remembered the viibryd in some random drawer in the bathroom and thinking ab how my grandma left that and only that out of everything in the drawers she knew .|remembered  viibryd   random drawer   bathroom  thinking ab   grandma left          drawers   
34|@PaulJRosen My friend went on Viibryd and then hung himself. Not all med are correct for everyone.|pauljrosen  friend   viibryd   hung    med  correct  
35|@RandyTheDwarf The same thing happened to me with Viibryd! I got a coupon for a free month on their site so I could wean off.|randythedwarf    happened    viibryd    coupon   free month   site    wean 
36|@minkajane Their argument is the same the pharmacist had which is "there are OTHER options" she kinda rolled her eyes when I told her which one it was, apparently they don't like it. It's Viibryd and I don't know much about it, it makes me a bit snappy so it may not be the best for me|minkajane  argument     pharmacist       options  kinda rolled  eyes   told      apparently      viibryd         makes   bit snappy         
37|I have to work at 10am. I haven’t been able to sleep. 2 days ago was my last day weaning off Viibryd and my entire body has been itching for hours. My eyeballs itch.|     am  haven  able  sleep  days ago    day weaning  viibryd   entire body   itching  hours  eyeballs itch
38|Gonna go to bed and enjoy my viibryd fueled dream/movie.😴📽Gotta start writing this stuff down, 'cause, DAMN!|gonna   bed  enjoy  viibryd fueled dreammovie😴📽gotta start writing  stuff  cause damn
39|@sparklefart69 @tylerblack32 @elonmusk @pmarca Yes... I switched under control of a provider to Viibryd. No issues.  I never would dream of stopping any of them cold turkey.|sparklefart tylerblack elonmusk pmarca   switched  control   provider  viibryd  issues     dream  stopping    cold turkey
40|@AshleyGWinter Agreed, been taking it for a couple of years now, it's been part of my regime along with another medication (Viibryd originally, swapped over due to cost and supply issues). No major issues.|ashleygwinter agreed  taking    couple         regime    medication viibryd originally swapped  due  cost  supply issues  major issues
41|@LetUsUniteHere @Genesis_6_1_6 See, Viibryd works great for me, and it worked within the first week. I think everyone is different when it comes to medication.|letusunitehere genesis  viibryd           week        comes  medication
42|SSRIsI take Viibryd , it is fast acting, so there is no building up in your system to work. After 2 years of trying me on this and that I was offered Viibryd, and in 2 days, shorter than what I was told, my major depression was alleviated. I take 20 mlgm. https://t.co/eW0vRBMYWd|ssrisi  viibryd    fast acting     building    system       trying        offered viibryd    days shorter     told  major depression  alleviated    mlgm httpscoewvrbmywd
43|@katiedimartin Like does it help? Yeah. Does it also give me permanent tinnitus? Yeah. It’s very just okay.(viibryd was the One Great Med for me, before the poop-out 🥲)|katiedimartin    help yeah      permanent tinnitus yeah    okayviibryd     med     poop 🥲
44|And if you ever need to talk please DM me ❤️ I’m currently on viibryd, Wellbutrin and sometimes Xanax and I have like no wisdom about anything but I can help with depression|      talk please dm  ❤️  currently  viibryd wellbutrin  sometimes xanax      wisdom      help  depression
45|@bellabee13 Besides my hypertension meds, I also take:VyvanseTrazodone ViibrydKlonopin PRNThese meds enable me to be a better therapist.|bellabee besides  hypertension meds   vyvansetrazodone viibrydklonopin prnthese meds enable      therapist
46|@BrianMerritt @rk_p Viibryd and Klonopin over here.|brianmerritt rkp viibryd  klonopin  
47|RT @paulettexo_: I’m so angry by what @elonmusk said. I have taken more drugs then he has ever taken in his lifetime. From Wellbutrin to Li…|rt paulettexo   angry   elonmusk      drugs        lifetime  wellbutrin  li…
48|@Genesis_6_1_6 These suck &amp; I literally itched everwhere 80% of the time for two full months when I got off of Viibryd. Avoid that one at all costs. It also made me jumpy. Had no idea until I got off of it how bad it was.  I swear all of these will make you foggy/bloated. https://t.co/xKXjXw6dnh|genesis  suck amp  literally itched everwhere    time    months      viibryd avoid     costs     jumpy   idea        bad     swear       foggybloated httpscoxkxjxwdnh
49|I’m so angry by what @elonmusk said. I have taken more drugs then he has ever taken in his lifetime. From Wellbutrin to Lithium to Depakote to Xanax to Viibryd to Zoloft to Propranolol to Prozac to Klonopin. He has NO idea what he’s talking about.|  angry   elonmusk      drugs        lifetime  wellbutrin  lithium  depakote  xanax  viibryd  zoloft  propranolol  prozac  klonopin    idea   talking 
50|@ajacobson921 Viibryd 40 mg, buspirone 30 mg, aripiprazole 5 mg. It’s a good life.|ajacobson viibryd  mg buspirone  mg aripiprazole  mg    life
