count|raw_tweet|processed_tweet
66|@YazanAbdullahMD @RyanMarino @elonmusk @pmarca Thank you so much for interacting w/me and being kind. She also said that it had the least sexual side effects. I believe she took Paxil before and Celexa?? She said trying to orgasm was like running a race but the finish line kept moving. 😬 Sorry if TMI.|yazanabdullahmd ryanmarino elonmusk pmarca thank     interacting             sexual  effects  believe   paxil   celexa   trying  orgasm   running  race   finish line kept moving 😬 sorry  tmi
67|@elonmusk @CocaCola Great! That us all they need to mix with their Prozac, Zoloft, Paxil, Celexa, Lexapro, Luvox, Wellbutrin, Adderall, etc! I am do tired of documenting all the cases for 30 years now! https://t.co/WdluFbzCfV|elonmusk cocacola        mix   prozac zoloft paxil celexa lexapro luvox wellbutrin adderall etc    tired  documenting        httpscowdlufbzcfv
68|I have tried trazodone, sertraline (zoloft), fluoxetine (prozac), Viibryd, duloxetine (cymbalta), citalopram (celexa) AND escitalopram (lexapro). Wellbutrin XR has been my light! It has been the first drug to help anxiety/depression without making me completely numb. https://t.co/JK41rywTl8|  tried trazodone sertraline zoloft fluoxetine prozac viibryd duloxetine cymbalta citalopram celexa  escitalopram lexapro wellbutrin xr    light      drug  help anxietydepression    completely numb httpscojkrywtl
69|Found a psych &amp; therapist (&amp; CBT) I really liked that worked for me. Celexa didn't make me worse, but the grinding teeth side sucked &amp; I didn't feel better. So they put me on Prozac &amp; I have NEVER felt better. It's just...easier? to stop my compulsions &amp; get off head loops 5/?|found  psych amp therapist amp cbt   liked     celexa    worse   grinding teeth  sucked amp   feel       prozac amp       easier  stop  compulsions amp   head loops 
70|@cherry_faerie Celexa gang ✨|cherryfaerie celexa gang ✨
71|@_camiam__ I hated Wellbutrin /: but they also originally started me off with celexa so I think I was ruined already lol|camiam  hated wellbutrin     originally started    celexa      ruined  lol
72|@cherry_faerie Ex Zoloft onto celexa and I got the brain zaps and ticks to prove it lmaooo|cherryfaerie ex zoloft onto celexa     brain zaps  ticks  prove  lmaooo
73|@BigBoobs_Milf @_braixen_rule_34_amature_outdoor_tube_mens_masturbation_toys_celexa_and_sex_drive|bigboobsmilf braixenruleamatureoutdoortubemensmasturbationtoyscelexaandsexdrive
74|@shlimba @WFrancisEsq @AshleyGWinter I used to be on celexa as well and it robbed me of any interest in most things. I would get in these deep mental holes where I felt like I couldnt get rid of the continuous bad thoughts for a time. I’m not a fan of SSRIs at all as I feel I still have long term effects to this day|shlimba wfrancisesq ashleygwinter      celexa     robbed             deep mental holes      couldnt  rid   continuous bad    time    fan  ssris     feel     term effects   day
75|@feistyhatchling @swerpette1 @Sardonic_Sardin @WFrancisEsq @AshleyGWinter I recommend Celexa to lots of ppl. It’s mild w/o a lot of side effects &amp; can really help w mild depression…which doesn’t always mean crying/sadness. It can also present as irritability, anger, cynicism, loss of hope &amp; just general unhappiness. It’s also easy to stop taking.|feistyhatchling swerpette sardonicsardin wfrancisesq ashleygwinter  recommend celexa  lots  ppl  mild   lot   effects amp   help  mild depression… doesn  mean cryingsadness      irritability anger cynicism loss  hope amp   unhappiness   easy  stop taking
76|@EventuallyTruth @swerpette1 @Sardonic_Sardin @WFrancisEsq @AshleyGWinter When I stifled work depression,  I tried l about 5 drugs that did nothing,  after a few weeks on Celexa,  I was like oh,   This is much better.|eventuallytruth swerpette sardonicsardin wfrancisesq ashleygwinter   stifled  depression   tried    drugs        weeks  celexa     oh      
77|@ArabelleRaphael My Celexa gets me horny as hellllll tho|arabelleraphael  celexa   horny  hellllll tho
78|@shlimba @WFrancisEsq @AshleyGWinter But I don’t think there’s any study to prove that it would help. Citalpropam/celexa would not help Parkinson’s since it is an ssri it’s not even working on your dopamine…celexa works on your serotonin. So if they put him on that for Parkinson’s that would be a mystery to me|shlimba wfrancisesq ashleygwinter   don    study  prove    help citalpropamcelexa   help parkinson     ssri       dopamine…celexa    serotonin         parkinson     mystery  
79|@__bee_kay__ Celexa really screws that idea up though.|beekay celexa  screws  idea  
80|RT @orion7710: The 1st-line class of medications to treat Major Depression or Anxiety are the SSRIs - selective serotonin reuptake inhibito…|rt orion  stline class  medications  treat major depression  anxiety   ssris  selective serotonin reuptake inhibito…
81|The 1st-line class of medications to treat Major Depression or Anxiety are the SSRIs - selective serotonin reuptake inhibitors. These include Lexapro, Zoloft, Celexa, Prozac, Paxil and others. Wellbutrin, which inhibits Norepinephrine and Dopamine reuptake while also being and 1/| stline class  medications  treat major depression  anxiety   ssris  selective serotonin reuptake inhibitors  include lexapro zoloft celexa prozac paxil   wellbutrin  inhibits norepinephrine  dopamine reuptake     
82|@GleasonSharkey @empatheticb0ss These comments are interesting. I use to take Celexa but if I missed a few days it felt like ants crawling around my head. Lexapro suits me better.|gleasonsharkey empatheticbss  comments       celexa    missed   days    ants crawling   head lexapro suits  
83|@elonmusk @pmarca celexa literally saved my life, fuck you shitpit|elonmusk pmarca celexa literally saved  life fuck  shitpit
84|Over multiple psych appointments, lowering the Adderall dose, getting completely off Abilify and Celexa, and getting on Wellbutrin stabilized my impulses and anxiety.While stable mentally, I had to deal with managing the debt I racked up under Abilify-induced mania. (4/?)| multiple psych appointments lowering  adderall dose getting completely  abilify  celexa  getting  wellbutrin stabilized  impulses  anxiety stable mentally    deal  managing  debt  racked   abilifyinduced mania 
85|The wrong combo of meds caused this autistic guy to have *no* impulse control. Abilify, Celexa, and... too much Adderall.Abilify-induced mania led to compulsive buying, which resulted in high levels of debt for someone with barely any income. (2/?)| wrong combo  meds caused  autistic guy    impulse control abilify celexa    adderallabilifyinduced mania led  compulsive buying  resulted   levels  debt    barely  income 
86|@sassybibrarian Seroquel made me a zombie… but then again I’m pretty sure it could have also been the fact that they had me on 200mg 2x day along w/Effexor xr. Gotta love inpatient trial &amp; error…had never been on anything stronger than celexa prior to that. Effexor alone was my happy medium|sassybibrarian seroquel    zombie…     pretty              mg x day  effexor xr gotta love inpatient trial amp error…     stronger  celexa prior   effexor    happy medium
87|@daisycakes I would be dead without Wellbutrin and Celexa. Thank god for them.|daisycakes    dead  wellbutrin  celexa thank god  
88|@acweyand My trifecta is (currently) Celexa/Wellbutrin XR/Lamictal, side of Adderall.|acweyand  trifecta  currently celexawellbutrin xrlamictal   adderall
89|Why is everybody hating on Wellbutrin like it didn’t work for me but it can still work for someone else? It’s almost as if different people have different brain chemistries…? And yes it is black boxed but a lot of meds are and this is not the worst. Risperidone? Celexa? ????|   hating  wellbutrin   didn           else      people   brain chemistries…     black boxed   lot  meds       worst risperidone celexa 
90|@realfrancesca20 @elonmusk @Cernovich Celexa failed as an antidepressant for me. It escalated things that if I delve deeper into, will need a blatant trigger warning. That does not mean I will advocate for it to be off of the market. With a platform and no credentials, it is irresponsible.|realfrancesca elonmusk cernovich celexa failed   antidepressant    escalated     delve deeper     blatant trigger warning    mean   advocate        market   platform   credentials   irresponsible
91|RT @pinktights1969: #NaomiJudd nobody takes #mental health seriously until they see a woman take her self away from life on her own terms 😢…|rt pinktights naomijudd  takes mental health seriously     woman   self   life    terms 😢…
92|RT @DuthieAlyne: @jill_d35 @atomicaceso @connieDS80 @shizenoodle @elonmusk @PPathole @pmarca Pharma isn't renowned for it's ethical heart a…|rt duthiealyne jilld atomicaceso connieds shizenoodle elonmusk ppathole pmarca pharma  renowned   ethical heart …
93|#NaomiJudd nobody takes #mental health seriously until they see a woman take her self away from life on her own terms 😢 God is going to give you peace, now. #Saturday #celexa #MentalHealthMatters #Therapy doesn’t help!!!!! https://t.co/IbPVnFQGtw|naomijudd  takes mental health seriously     woman   self   life    terms 😢 god      peace  saturday celexa mentalhealthmatters therapy doesn help httpscoibpvnfqgtw
94|@MrprezTrades The side effect being that one drug was canceling the other? I’ve been using citalopram(celexa) for about 10 years and recently started using about 10-15mg delta 8. Personally I didn’t have an issue when I started meds. Must be frustrating :/|mrpreztrades   effect    drug  canceling   ve  using citalopramcelexa      recently started using  mg delta  personally  didn   issue   started meds   frustrating 
95|@nicdotrs Celexa says hey I’m going to amplify how bad your sweet tooth is but also chocolate will make you feel weird so good luck :)|nicdotrs celexa  hey    amplify  bad  sweet tooth    chocolate    feel weird   luck 
96|Celexa, Lexapro &amp; the Death of Evidence-Based Medicine https://t.co/iNJOJjNsu5|celexa lexapro amp  death  evidencebased medicine httpscoinjojjnsu
97|celexa my bff fr|celexa  bff fr
98|@QuizzicalGirl @TxHopsfarmer @elonmusk @pmarca Yes I agree. Celexa 10mg worked GREAT for me for like a year|quizzicalgirl txhopsfarmer elonmusk pmarca   agree celexa mg        
99|@QuizzicalGirl @glmlewis @TxHopsfarmer @elonmusk @pmarca Interesting…I’ll mention this. Celexa didn’t seem to affect my BP &amp; it worked for awhile but not last time I tried. Hoping that coming off adderall will get my BP back in check too so think he’d be open to try. He doesn’t know I stopped the Add yet but he’ll be happy (as am I!)|quizzicalgirl glmlewis txhopsfarmer elonmusk pmarca …ll mention  celexa didn   affect  bp amp    awhile    time  tried hoping  coming  adderall    bp   check        try  doesn   stopped  add   ll  happy   
100|@HannaSherrill I am on Celexa. 🤷🏻‍♀️|hannasherrill    celexa 🤷🏻‍♀️
101|I am not saying don't get prenatal care, by all means do get it. However, my last pregnancy traumatized me with the amount of unnecessary care they forced on me. First, a NP took me of all my meds and put me on Celexa.|   saying   prenatal care   means       pregnancy traumatized    amount  unnecessary care  forced     np      meds     celexa
102|@AshleyGWinter How is it compared to Celexa? I really didn't like Celexa.|ashleygwinter    compared  celexa     celexa
103|@BarghestBlack I wish I could find something that works for me.Been on so many things, from celexa to rexulti and so many more.Welbutrin made me feel something though, a straight manic episode. Had to stop taking it or it would have given me a heart attack. Just started Prozac so, heres to hope|barghestblack  wish              celexa  rexulti    welbutrin   feel    straight manic episode   stop taking         heart attack  started prozac  heres  hope
104|I could not function without Wellbutrin and Celexa, especially given what I have been through the last 3 months. https://t.co/hxjhalx0c1|   function  wellbutrin  celexa especially          months httpscohxjhalxc
105|Celexa saved my life. SSRIs are lifesavers. MuskRat can STFU.|celexa saved  life ssris  lifesavers muskrat  stfu
106|@alafaye I was on Celexa and TOLD my provider about increased (to the point of hallucinations) ideation and was told "as long as you're not acting on it, it's fine."Less than 6 months later I was in hospital.I don't know anyone else who had such a severe reaction.|alafaye    celexa  told  provider  increased     hallucinations ideation   told    re  acting    fine   months     hospital    else     severe reaction
107|fuck that asshole.if it wasn't for me being on celexa, i don't know if i'd even be alive right now. if one ssri doesn't work, another will. everyone is different so not every ad will work for every person. research/talk/listen to your doc. not to assholes who don't know shit.|fuck  asshole       celexa        alive     ssri           ad     person researchtalklisten   doc   assholes    shit
108|@n3crobf ive tried lexapro prozac effexor wellbutrin and celexa i hate them all so far|ncrobf ive tried lexapro prozac effexor wellbutrin  celexa  hate    
109|RT @EventuallyTruth: @QuizzicalGirl @TxHopsfarmer @elonmusk @pmarca Interesting to hear this. Have been on ADs my whole life (Elavil, Effex…|rt eventuallytruth quizzicalgirl txhopsfarmer elonmusk pmarca   hear     ads   life elavil effex…
110|@QuizzicalGirl @TxHopsfarmer @elonmusk @pmarca Interesting to hear this. Have been on ADs my whole life (Elavil, Effexor, Celexa). The 1st 2 were bad (for me) &amp; Celexa stopped working. Think I’ll talk to my doc about Wellbutrin as I’m just coming off several yrs of Adderall &amp; heard on another thread it can help with that too|quizzicalgirl txhopsfarmer elonmusk pmarca   hear     ads   life elavil effexor celexa  st   bad   amp celexa stopped   ll talk   doc  wellbutrin    coming   yrs  adderall amp heard   thread   help   
111|@swerpette1 @Sardonic_Sardin @WFrancisEsq @AshleyGWinter I once got my husband to take Celexa and it shockingly fixed that jerk problem like a charm! Wish I could’ve convinced him to stay on it…maybe he’d still be my husband lol|swerpette sardonicsardin wfrancisesq ashleygwinter     husband   celexa   shockingly fixed  jerk    charm wish  ve convinced   stay  …maybe     husband lol
112|@breckmundis have heard of its use but think it really depends on the patient Lexapro and Celexa are interesting enantiomers|breckmundis  heard        depends   patient lexapro  celexa   enantiomers
113|@rascality IIRC bupropion is a great second choice if something like Lexapro or Celexa isn’t a good fit. Am I right in saying Abilify is a good second choice too but it’s not a long term option like bupropion?|rascality iirc bupropion     choice    lexapro  celexa isn   fit     saying abilify     choice       term option  bupropion
114|Wellbutrin eases my near constant desire to kill myself and brought back my libido somewhat after celexa completely wiped it out it. A+ medication https://t.co/cLj9Q7bG15|wellbutrin eases  near constant desire  kill   brought   libido somewhat  celexa completely wiped     medication httpscocljqbg
115|@drjessigold When it comes to pharmacology, your mileage will vary. I took Wellbutrin &amp; Celexa as anxiolytics to the effects of Adderall. They did the opposite if anything &amp; added sexual side effects, strange intrusive thoughts and a litany of strange behaviors on my part. Had to quit using.|drjessigold   comes  pharmacology  mileage  vary   wellbutrin amp celexa  anxiolytics   effects  adderall    opposite   amp added sexual  effects strange intrusive    litany  strange behaviors      quit using
116|@glittergeekali Wellbutrin really helped me for a few years. On Celexa now which also helps (majorly).|glittergeekali wellbutrin  helped       celexa    helps majorly
117|@whomstdvently My Wellbutrin 🎃🦇🌩horror story🌩🦇🎃 i started on a low dose of Wellbutrin. i felt i was getting grumpier than usual though overal feeling better. my doc switched me to celexathe end|whomstdvently  wellbutrin 🎃🦇🌩horror story🌩🦇🎃  started   low dose  wellbutrin     getting grumpier  usual  overal feeling   doc switched   celexathe 
118|@elonmusk @pmarca I can attest. Psychedelics have done more to help me through my anxiety and depression than zoloft, celexa, or prozac. I'd much rather feel and work through past trauma in way that gives me sense of closure and understanding than bugged out and zombified not caring about a thing.|elonmusk pmarca   attest psychedelics     help    anxiety  depression  zoloft celexa  prozac    feel    past trauma      sense  closure  understanding  bugged   zombified  caring   
